city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Berlevåg,70.8602,29.0853,Norway,NO,Finnmark,minor,,
Snåsa,64.2456,12.3818,Norway,NO,Nord-Trøndelag,minor,,
Lakselv,70.0436,24.9758,Norway,NO,Finnmark,minor,,
Bykle,59.3500,7.3333,Norway,NO,Aust-Agder,minor,,
Eidfjord,60.4667,7.0833,Norway,NO,Hordaland,minor,,
Tana Bru,70.1977,28.1849,Norway,NO,Finnmark,minor,,
Trofors,65.5333,13.4063,Norway,NO,Nordland,minor,,
Engerdal,61.7584,11.9594,Norway,NO,Hedmark,minor,,
Tydal,63.0554,11.5658,Norway,NO,Sør-Trøndelag,minor,,
Burfjord,69.9333,22.0500,Norway,NO,Troms,minor,,
Bergset,61.8897,11.0773,Norway,NO,Hedmark,minor,,
Hattfjelldal,65.5963,13.9978,Norway,NO,Nordland,minor,,
Varangerbotn,70.1762,28.5541,Norway,NO,Finnmark,minor,,
Mehamn,71.0373,27.8507,Norway,NO,Finnmark,minor,,
Namsskogan,64.9286,13.1595,Norway,NO,Nord-Trøndelag,minor,,
Karasjok,69.4711,25.5019,Norway,NO,Finnmark,minor,,
Kvalsund,70.5027,23.9800,Norway,NO,Finnmark,minor,,
Kjøllefjord,70.9457,27.3463,Norway,NO,Finnmark,minor,,
Kautokeino,69.0124,23.0408,Norway,NO,Finnmark,minor,,
Røyrvik,64.8832,13.5635,Norway,NO,Nord-Trøndelag,minor,,
Træna,66.5017,12.0963,Norway,NO,Nordland,minor,,
Nordli,64.4659,13.5907,Norway,NO,Nord-Trøndelag,minor,,
Rømskog,59.7127,11.8416,Norway,NO,Østfold,minor,,
Nesoddtangen,59.8667,10.6500,Norway,NO,Oslo,minor,,
Andenes,69.3203,16.1428,Norway,NO,Nordland,minor,,
